Sale_Date,Route,Tickets_Sold
2023-01-16,Jaipur-Delhi,1
2023-01-16,NDLS-NDLS,1
2023-01-17,Delhi-BCT,1
2023-01-17,Delhi-SBC,1
2023-01-17,Gorakhpur-Delhi,1
2023-01-17,Gorakhpur-MAS,1
2023-01-17,HWH-HWH,1
2023-01-17,Mumbai-Jaipur,1
2023-01-17,NDLS-Chennai,1
2023-01-17,SBC-Jaipur,1
2023-01-18,Chennai-HWH,1
2023-01-18,Delhi-Jaipur,1
2023-01-18,Gorakhpur-MAS,1
2023-01-18,HWH-Jaipur,1
2023-01-18,Jaipur-Gorakhpur,1
2023-01-18,MAS-Jaipur,1
2023-01-18,MAS-NDLS,1
2023-01-18,NDLS-Chennai,1
2023-01-19,BCT-Chennai,1
2023-01-19,BCT-MAS,1
2023-01-19,Chennai-NDLS,1
2023-01-19,Chennai-SBC,1
2023-01-19,Jaipur-Gorakhpur,1
2023-01-19,MAS-Mumbai,1
2023-01-19,MAS-NDLS,1
2023-01-19,NDLS-Chennai,1
2023-01-20,BCT-BCT,1
2023-01-20,Chennai-HWH,2
2023-01-20,Delhi-Mumbai,1
2023-01-20,Gorakhpur-SBC,1
2023-01-20,HWH-Mumbai,1
2023-01-20,MAS-Gorakhpur,1
2023-01-20,MAS-Jaipur,1
2023-01-21,BCT-SBC,1
2023-01-21,HWH-Gorakhpur,1
2023-01-21,HWH-SBC,1
2023-01-21,Jaipur-MAS,1
2023-01-21,Mumbai-Mumbai,1
2023-01-21,NDLS-BCT,1
2023-01-21,SBC-Delhi,1
2023-01-21,SBC-Gorakhpur,1
2023-01-22,Delhi-BCT,1
2023-01-22,HWH-Delhi,1
2023-01-22,HWH-Mumbai,1
2023-01-22,Jaipur-Delhi,1
2023-01-22,MAS-MAS,1
2023-01-22,Mumbai-HWH,1
2023-01-22,NDLS-Mumbai,1
2023-01-22,SBC-Chennai,1
2023-01-23,BCT-NDLS,1
2023-01-23,Chennai-Gorakhpur,1
2023-01-23,Delhi-Delhi,1
2023-01-23,Gorakhpur-BCT,1
2023-01-23,Gorakhpur-SBC,1
2023-01-23,Jaipur-Chennai,1
2023-01-23,SBC-BCT,1
2023-01-23,SBC-Delhi,1
2023-01-24,Delhi-Delhi,1
2023-01-24,Gorakhpur-MAS,1
2023-01-24,HWH-MAS,1
2023-01-24,HWH-NDLS,1
2023-01-24,MAS-NDLS,1
2023-01-24,Mumbai-NDLS,1
2023-01-24,NDLS-Delhi,1
2023-01-24,SBC-BCT,1
2023-01-25,Chennai-MAS,1
2023-01-25,Chennai-SBC,1
2023-01-25,Gorakhpur-Chennai,1
2023-01-25,Gorakhpur-Jaipur,1
2023-01-25,Jaipur-BCT,1
2023-01-25,Mumbai-MAS,2
2023-01-25,SBC-Delhi,1
2023-01-26,Chennai-MAS,1
2023-01-26,Delhi-Jaipur,1
2023-01-26,Gorakhpur-Jaipur,1
2023-01-26,HWH-HWH,1
2023-01-26,HWH-NDLS,1
2023-01-26,MAS-Delhi,1
2023-01-26,Mumbai-SBC,1
2023-01-26,NDLS-Chennai,1
2023-01-27,Chennai-Chennai,1
2023-01-27,Chennai-Mumbai,1
2023-01-27,Gorakhpur-MAS,1
2023-01-27,Gorakhpur-NDLS,1
2023-01-27,HWH-SBC,1
2023-01-27,MAS-Delhi,1
2023-01-27,MAS-HWH,1
2023-01-27,Mumbai-BCT,1
2023-01-28,BCT-SBC,1
2023-01-28,Delhi-BCT,1
2023-01-28,Jaipur-NDLS,1
2023-01-28,MAS-Jaipur,1
2023-01-28,NDLS-Chennai,1
2023-01-28,NDLS-HWH,2
2023-01-28,SBC-Jaipur,1
2023-01-29,BCT-SBC,1
2023-01-29,Chennai-SBC,1
2023-01-29,Gorakhpur-BCT,2
2023-01-29,MAS-BCT,1
2023-01-29,Mumbai-Delhi,1
2023-01-29,Mumbai-Mumbai,1
2023-01-29,SBC-SBC,1
2023-01-30,Delhi-Mumbai,1
2023-01-30,HWH-BCT,1
2023-01-30,HWH-MAS,1
2023-01-30,Jaipur-BCT,1
2023-01-30,Jaipur-NDLS,1
2023-01-30,Mumbai-Delhi,1
2023-01-30,SBC-MAS,1
2023-01-30,SBC-Mumbai,1
2023-01-31,Gorakhpur-Jaipur,1
2023-01-31,Gorakhpur-MAS,1
2023-01-31,HWH-MAS,1
2023-01-31,Jaipur-HWH,1
2023-01-31,Jaipur-MAS,1
2023-01-31,Mumbai-MAS,1
2023-01-31,Mumbai-NDLS,1
2023-01-31,SBC-BCT,1
2023-02-01,BCT-Chennai,1
2023-02-01,Chennai-Gorakhpur,1
2023-02-01,Chennai-Mumbai,1
2023-02-01,Delhi-Chennai,1
2023-02-01,Delhi-NDLS,1
2023-02-01,Gorakhpur-BCT,2
2023-02-01,HWH-Chennai,1
2023-02-02,BCT-Delhi,1
2023-02-02,BCT-MAS,1
2023-02-02,BCT-Mumbai,1
2023-02-02,HWH-BCT,1
2023-02-02,HWH-Mumbai,1
2023-02-02,MAS-HWH,1
2023-02-02,Mumbai-MAS,1
2023-02-02,Mumbai-NDLS,1
2023-02-03,Chennai-BCT,1
2023-02-03,Chennai-Chennai,1
2023-02-03,Delhi-BCT,1
2023-02-03,HWH-MAS,1
2023-02-03,Jaipur-SBC,2
2023-02-03,MAS-NDLS,1
2023-02-03,SBC-Gorakhpur,1
2023-02-04,Delhi-HWH,1
2023-02-04,Gorakhpur-HWH,1
2023-02-04,Gorakhpur-Mumbai,1
2023-02-04,HWH-SBC,1
2023-02-04,NDLS-Jaipur,1
2023-02-04,NDLS-SBC,1
2023-02-04,SBC-Chennai,1
2023-02-04,SBC-MAS,1
2023-02-05,BCT-NDLS,1
2023-02-05,BCT-SBC,1
2023-02-05,Chennai-Mumbai,1
2023-02-05,Delhi-MAS,1
2023-02-05,MAS-Delhi,1
2023-02-05,MAS-Jaipur,1
2023-02-05,Mumbai-Gorakhpur,1
2023-02-05,SBC-MAS,1
2023-02-06,BCT-Chennai,1
2023-02-06,BCT-MAS,1
2023-02-06,Gorakhpur-Delhi,1
2023-02-06,Gorakhpur-NDLS,1
2023-02-06,Mumbai-HWH,1
2023-02-06,SBC-Delhi,1
2023-02-06,SBC-Gorakhpur,1
2023-02-06,SBC-NDLS,1
2023-02-07,Chennai-Mumbai,1
2023-02-07,Delhi-Jaipur,1
2023-02-07,Delhi-Mumbai,1
2023-02-07,HWH-Gorakhpur,1
2023-02-07,HWH-Mumbai,1
2023-02-07,Jaipur-Chennai,1
2023-02-07,Jaipur-Jaipur,1
2023-02-07,Mumbai-Gorakhpur,1
2023-02-08,BCT-HWH,2
2023-02-08,BCT-NDLS,1
2023-02-08,BCT-SBC,1
2023-02-08,HWH-Gorakhpur,1
2023-02-08,NDLS-Gorakhpur,1
2023-02-08,SBC-Gorakhpur,1
2023-02-08,SBC-Jaipur,1
2023-02-09,BCT-Chennai,1
2023-02-09,Gorakhpur-MAS,1
2023-02-09,HWH-BCT,1
2023-02-09,MAS-NDLS,1
2023-02-09,Mumbai-Delhi,1
2023-02-09,Mumbai-MAS,1
2023-02-09,SBC-MAS,1
2023-02-09,SBC-SBC,1
2023-02-10,BCT-Delhi,1
2023-02-10,Chennai-MAS,2
2023-02-10,Delhi-NDLS,1
2023-02-10,Mumbai-MAS,1
2023-02-10,NDLS-Gorakhpur,1
2023-02-10,SBC-BCT,1
2023-02-10,SBC-Gorakhpur,1
2023-02-11,HWH-BCT,1
2023-02-11,HWH-Chennai,1
2023-02-11,Jaipur-HWH,1
2023-02-11,MAS-Mumbai,1
2023-02-11,Mumbai-BCT,1
2023-02-11,Mumbai-Chennai,1
2023-02-11,SBC-Mumbai,1
2023-02-11,SBC-SBC,1
2023-02-12,BCT-NDLS,1
2023-02-12,Chennai-HWH,1
2023-02-12,Gorakhpur-Delhi,1
2023-02-12,HWH-SBC,1
2023-02-12,Mumbai-HWH,1
2023-02-12,NDLS-Gorakhpur,1
2023-02-12,SBC-Gorakhpur,2
2023-02-13,Chennai-Gorakhpur,1
2023-02-13,Chennai-SBC,1
2023-02-13,Gorakhpur-Delhi,1
2023-02-13,Gorakhpur-HWH,1
2023-02-13,HWH-Chennai,1
2023-02-13,Mumbai-BCT,1
2023-02-13,NDLS-BCT,1
2023-02-13,NDLS-Delhi,1
2023-02-14,BCT-Jaipur,1
2023-02-14,BCT-MAS,1
2023-02-14,BCT-NDLS,1
2023-02-14,Delhi-Chennai,1
2023-02-14,MAS-Mumbai,1
2023-02-14,MAS-NDLS,1
2023-02-14,Mumbai-SBC,1
2023-02-14,NDLS-Delhi,1
2023-02-15,Chennai-Chennai,1
2023-02-15,Delhi-Mumbai,1
2023-02-15,Delhi-NDLS,1
2023-02-15,HWH-NDLS,1
2023-02-15,MAS-BCT,1
2023-02-15,NDLS-Jaipur,1
2023-02-15,SBC-BCT,1
2023-02-15,SBC-NDLS,1
2023-02-16,Delhi-Delhi,1
2023-02-16,Delhi-Jaipur,1
2023-02-16,Delhi-SBC,1
2023-02-16,HWH-MAS,1
2023-02-16,MAS-MAS,1
2023-02-16,Mumbai-Gorakhpur,1
2023-02-16,SBC-MAS,1
2023-02-16,SBC-NDLS,1
2023-02-17,BCT-Gorakhpur,1
2023-02-17,Gorakhpur-Jaipur,1
2023-02-17,MAS-Delhi,1
2023-02-17,NDLS-Chennai,1
2023-02-17,NDLS-Gorakhpur,2
2023-02-17,SBC-Jaipur,1
2023-02-17,SBC-NDLS,1
2023-02-18,BCT-Jaipur,1
2023-02-18,Delhi-MAS,1
2023-02-18,Gorakhpur-HWH,1
2023-02-18,HWH-Delhi,1
2023-02-18,Mumbai-Delhi,1
2023-02-18,Mumbai-HWH,1
2023-02-18,SBC-Chennai,1
2023-02-18,SBC-Mumbai,1
2023-02-19,Chennai-Delhi,1
2023-02-19,Chennai-SBC,1
2023-02-19,Delhi-Jaipur,1
2023-02-19,HWH-SBC,1
2023-02-19,MAS-HWH,1
2023-02-19,MAS-SBC,1
2023-02-19,NDLS-Mumbai,1
2023-02-19,SBC-Chennai,1
2023-02-20,BCT-Delhi,1
2023-02-20,BCT-Gorakhpur,1
2023-02-20,Delhi-BCT,1
2023-02-20,Delhi-MAS,1
2023-02-20,Gorakhpur-Chennai,1
2023-02-20,Jaipur-Delhi,1
2023-02-20,Jaipur-Mumbai,1
2023-02-20,Mumbai-Mumbai,1
2023-02-21,Chennai-Jaipur,1
2023-02-21,Chennai-NDLS,1
2023-02-21,Chennai-SBC,1
2023-02-21,Jaipur-BCT,1
2023-02-21,Jaipur-Delhi,1
2023-02-21,Mumbai-MAS,1
2023-02-21,Mumbai-NDLS,1
2023-02-21,SBC-BCT,1
2023-02-22,BCT-Gorakhpur,1
2023-02-22,BCT-Jaipur,1
2023-02-22,Chennai-Gorakhpur,1
2023-02-22,Chennai-SBC,1
2023-02-22,Gorakhpur-SBC,1
2023-02-22,HWH-NDLS,1
2023-02-22,Mumbai-Jaipur,1
2023-02-22,Mumbai-MAS,1
2023-02-23,BCT-HWH,1
2023-02-23,Chennai-SBC,1
2023-02-23,Delhi-Gorakhpur,1
2023-02-23,Delhi-Jaipur,1
2023-02-23,Delhi-MAS,1
2023-02-23,MAS-MAS,1
2023-02-23,NDLS-Chennai,1
2023-02-23,NDLS-SBC,1
2023-02-24,BCT-Gorakhpur,1
2023-02-24,BCT-SBC,1
2023-02-24,Delhi-SBC,2
2023-02-24,Gorakhpur-Chennai,1
2023-02-24,MAS-BCT,1
2023-02-24,NDLS-Chennai,1
2023-02-24,SBC-Chennai,1
2023-02-25,BCT-HWH,1
2023-02-25,Chennai-Chennai,1
2023-02-25,Delhi-Delhi,1
2023-02-25,HWH-Mumbai,1
2023-02-25,Jaipur-BCT,1
2023-02-25,MAS-Delhi,1
2023-02-25,Mumbai-NDLS,2
2023-02-26,BCT-HWH,1
2023-02-26,Chennai-NDLS,1
2023-02-26,Gorakhpur-Delhi,1
2023-02-26,HWH-Delhi,1
2023-02-26,Jaipur-Mumbai,1
2023-02-26,MAS-SBC,1
2023-02-26,NDLS-Mumbai,1
2023-02-26,SBC-Gorakhpur,1
2023-02-27,Chennai-Delhi,1
2023-02-27,Chennai-SBC,1
2023-02-27,HWH-Gorakhpur,1
2023-02-27,MAS-SBC,1
2023-02-27,Mumbai-Jaipur,1
2023-02-27,Mumbai-SBC,1
2023-02-27,NDLS-MAS,1
2023-02-27,NDLS-Mumbai,1
2023-02-28,BCT-Mumbai,1
2023-02-28,Chennai-BCT,1
2023-02-28,Chennai-Mumbai,1
2023-02-28,Delhi-Gorakhpur,1
2023-02-28,Gorakhpur-HWH,1
2023-02-28,Gorakhpur-MAS,1
2023-02-28,Gorakhpur-SBC,1
2023-02-28,Jaipur-Chennai,1
2023-03-01,BCT-Jaipur,1
2023-03-01,Chennai-NDLS,1
2023-03-01,HWH-Chennai,1
2023-03-01,HWH-Mumbai,1
2023-03-01,Jaipur-Delhi,1
2023-03-01,MAS-Gorakhpur,1
2023-03-01,MAS-SBC,1
2023-03-01,NDLS-NDLS,1
2023-03-02,Chennai-Chennai,1
2023-03-02,Chennai-Jaipur,1
2023-03-02,Delhi-Gorakhpur,1
2023-03-02,Mumbai-Chennai,1
2023-03-02,Mumbai-Delhi,1
2023-03-02,Mumbai-HWH,1
2023-03-02,NDLS-SBC,1
2023-03-02,SBC-Chennai,1
2023-03-03,BCT-Delhi,1
2023-03-03,Chennai-Gorakhpur,1
2023-03-03,Delhi-Delhi,1
2023-03-03,Gorakhpur-Delhi,1
2023-03-03,Gorakhpur-Gorakhpur,1
2023-03-03,Gorakhpur-Mumbai,1
2023-03-03,NDLS-Gorakhpur,1
2023-03-03,SBC-Mumbai,1
2023-03-04,BCT-Delhi,1
2023-03-04,Chennai-Gorakhpur,1
2023-03-04,Delhi-Gorakhpur,1
2023-03-04,Delhi-NDLS,1
2023-03-04,HWH-MAS,1
2023-03-04,Jaipur-Chennai,2
2023-03-04,SBC-BCT,1
2023-03-05,Chennai-Jaipur,1
2023-03-05,Delhi-NDLS,1
2023-03-05,Gorakhpur-Jaipur,1
2023-03-05,Jaipur-Mumbai,1
2023-03-05,Mumbai-MAS,1
2023-03-05,SBC-Delhi,1
2023-03-05,SBC-MAS,2
2023-03-06,Chennai-Jaipur,1
2023-03-06,Chennai-Mumbai,1
2023-03-06,Gorakhpur-Chennai,1
2023-03-06,Jaipur-Chennai,1
2023-03-06,MAS-SBC,1
2023-03-06,Mumbai-Chennai,1
2023-03-06,NDLS-SBC,1
2023-03-06,SBC-SBC,1
2023-03-07,Delhi-SBC,1
2023-03-07,Gorakhpur-Jaipur,1
2023-03-07,HWH-MAS,1
2023-03-07,Jaipur-Chennai,1
2023-03-07,Jaipur-Mumbai,1
2023-03-07,MAS-Delhi,1
2023-03-07,MAS-Mumbai,1
2023-03-07,NDLS-NDLS,1
2023-03-08,BCT-Jaipur,2
2023-03-08,BCT-SBC,1
2023-03-08,Delhi-Mumbai,1
2023-03-08,HWH-Delhi,1
2023-03-08,Jaipur-Gorakhpur,1
2023-03-08,Jaipur-Mumbai,1
2023-03-08,MAS-Chennai,1
2023-03-08,NDLS-Mumbai,1
2023-03-09,BCT-Chennai,1
2023-03-09,Gorakhpur-BCT,2
2023-03-09,Jaipur-Chennai,1
2023-03-09,Jaipur-HWH,1
2023-03-09,MAS-Gorakhpur,1
2023-03-09,MAS-NDLS,1
2023-03-09,NDLS-SBC,1
2023-03-10,Chennai-Gorakhpur,1
2023-03-10,Delhi-MAS,1
2023-03-10,Gorakhpur-BCT,1
2023-03-10,Gorakhpur-Gorakhpur,1
2023-03-10,Jaipur-HWH,2
2023-03-10,Jaipur-SBC,1
2023-03-10,NDLS-NDLS,1
2023-03-11,BCT-SBC,1
2023-03-11,Chennai-MAS,1
2023-03-11,Gorakhpur-Chennai,1
2023-03-11,Gorakhpur-HWH,1
2023-03-11,HWH-BCT,1
2023-03-11,HWH-Jaipur,2
2023-03-11,MAS-BCT,1
2023-03-12,BCT-MAS,1
2023-03-12,Chennai-Jaipur,1
2023-03-12,Chennai-Mumbai,1
2023-03-12,Gorakhpur-Mumbai,1
2023-03-12,Gorakhpur-SBC,1
2023-03-12,Jaipur-SBC,1
2023-03-12,MAS-Jaipur,1
2023-03-12,SBC-SBC,1
2023-03-13,Delhi-SBC,1
2023-03-13,Jaipur-Mumbai,1
2023-03-13,MAS-Delhi,1
2023-03-13,Mumbai-MAS,1
2023-03-13,Mumbai-SBC,1
2023-03-13,NDLS-MAS,2
2023-03-13,SBC-SBC,1
2023-03-14,BCT-Jaipur,1
2023-03-14,Chennai-BCT,1
2023-03-14,Chennai-Gorakhpur,1
2023-03-14,Delhi-BCT,1
2023-03-14,HWH-NDLS,1
2023-03-14,Jaipur-Delhi,1
2023-03-14,Jaipur-HWH,1
2023-03-14,NDLS-Gorakhpur,1
2023-03-15,BCT-HWH,1
2023-03-15,BCT-MAS,1
2023-03-15,Chennai-SBC,1
2023-03-15,Gorakhpur-Delhi,1
2023-03-15,Jaipur-NDLS,1
2023-03-15,Mumbai-HWH,1
2023-03-15,NDLS-Delhi,1
2023-03-15,SBC-HWH,1
2023-03-16,BCT-Delhi,1
2023-03-16,Chennai-MAS,1
2023-03-16,Gorakhpur-Chennai,1
2023-03-16,HWH-Jaipur,1
2023-03-16,Jaipur-MAS,1
2023-03-16,MAS-Gorakhpur,1
2023-03-16,Mumbai-BCT,1
2023-03-16,SBC-Delhi,1
2023-03-17,BCT-BCT,1
2023-03-17,BCT-HWH,1
2023-03-17,BCT-NDLS,1
2023-03-17,Gorakhpur-HWH,1
2023-03-17,Mumbai-BCT,1
2023-03-17,Mumbai-NDLS,1
2023-03-17,SBC-HWH,1
2023-03-17,SBC-Jaipur,1
2023-03-18,BCT-MAS,1
2023-03-18,BCT-SBC,1
2023-03-18,Chennai-Mumbai,1
2023-03-18,Delhi-Gorakhpur,2
2023-03-18,Gorakhpur-Gorakhpur,1
2023-03-18,Gorakhpur-Mumbai,1
2023-03-18,SBC-Chennai,1
2023-03-19,Chennai-Chennai,1
2023-03-19,Jaipur-BCT,1
2023-03-19,Jaipur-HWH,1
2023-03-19,MAS-BCT,1
2023-03-19,Mumbai-NDLS,1
2023-03-19,NDLS-SBC,1
2023-03-19,SBC-MAS,1
2023-03-19,SBC-NDLS,1
2023-03-20,Chennai-Delhi,1
2023-03-20,Chennai-NDLS,1
2023-03-20,Chennai-SBC,1
2023-03-20,Gorakhpur-Chennai,1
2023-03-20,HWH-Jaipur,1
2023-03-20,HWH-Mumbai,1
2023-03-20,Mumbai-Gorakhpur,1
2023-03-20,NDLS-Mumbai,1
2023-03-21,Chennai-Gorakhpur,1
2023-03-21,Delhi-BCT,1
2023-03-21,Gorakhpur-BCT,1
2023-03-21,Jaipur-MAS,1
2023-03-21,MAS-SBC,1
2023-03-21,Mumbai-BCT,1
2023-03-21,NDLS-BCT,1
2023-03-21,SBC-Mumbai,1
2023-03-22,Delhi-Chennai,1
2023-03-22,Delhi-NDLS,1
2023-03-22,Gorakhpur-SBC,1
2023-03-22,HWH-BCT,1
2023-03-22,HWH-MAS,1
2023-03-22,MAS-Mumbai,1
2023-03-22,Mumbai-BCT,1
2023-03-22,SBC-BCT,1
2023-03-23,BCT-BCT,1
2023-03-23,Gorakhpur-Chennai,1
2023-03-23,Gorakhpur-MAS,1
2023-03-23,Jaipur-Mumbai,1
2023-03-23,MAS-Chennai,1
2023-03-23,Mumbai-Jaipur,1
2023-03-23,Mumbai-MAS,1
2023-03-23,SBC-MAS,1
2023-03-24,BCT-BCT,1
2023-03-24,BCT-HWH,1
2023-03-24,HWH-Chennai,2
2023-03-24,MAS-Chennai,1
2023-03-24,MAS-HWH,1
2023-03-24,Mumbai-Mumbai,1
2023-03-24,NDLS-BCT,1
2023-03-25,BCT-Mumbai,1
2023-03-25,Chennai-HWH,1
2023-03-25,Chennai-SBC,1
2023-03-25,HWH-Gorakhpur,1
2023-03-25,Mumbai-Delhi,1
2023-03-25,NDLS-MAS,1
2023-03-25,NDLS-Mumbai,1
2023-03-25,SBC-SBC,1
2023-03-26,Delhi-Gorakhpur,1
2023-03-26,Gorakhpur-HWH,1
2023-03-26,Jaipur-HWH,1
2023-03-26,MAS-BCT,1
2023-03-26,Mumbai-Delhi,1
2023-03-26,Mumbai-SBC,1
2023-03-26,NDLS-BCT,1
2023-03-26,SBC-NDLS,1
2023-03-27,Gorakhpur-Gorakhpur,2
2023-03-27,Gorakhpur-Mumbai,2
2023-03-27,Jaipur-Chennai,1
2023-03-27,MAS-HWH,1
2023-03-27,Mumbai-NDLS,1
2023-03-27,SBC-Gorakhpur,1
2023-03-28,BCT-HWH,1
2023-03-28,Chennai-MAS,1
2023-03-28,Delhi-MAS,1
2023-03-28,HWH-BCT,1
2023-03-28,Mumbai-Jaipur,1
2023-03-28,NDLS-Gorakhpur,1
2023-03-28,NDLS-Mumbai,1
2023-03-28,SBC-Chennai,1
2023-03-29,Chennai-SBC,1
2023-03-29,Delhi-Chennai,2
2023-03-29,Gorakhpur-Chennai,1
2023-03-29,HWH-NDLS,1
2023-03-29,Jaipur-BCT,1
2023-03-29,MAS-Mumbai,1
2023-03-29,SBC-Jaipur,1
2023-03-30,BCT-Jaipur,1
2023-03-30,BCT-SBC,1
2023-03-30,Chennai-Jaipur,1
2023-03-30,Chennai-Mumbai,1
2023-03-30,Gorakhpur-Mumbai,2
2023-03-30,HWH-HWH,1
2023-03-30,MAS-Chennai,1
2023-03-31,Chennai-MAS,1
2023-03-31,Delhi-Jaipur,1
2023-03-31,Jaipur-BCT,1
2023-03-31,MAS-BCT,2
2023-03-31,Mumbai-Gorakhpur,1
2023-03-31,NDLS-BCT,1
2023-03-31,SBC-Gorakhpur,1
2023-04-01,Chennai-Gorakhpur,2
2023-04-01,Delhi-SBC,1
2023-04-01,Jaipur-BCT,1
2023-04-01,Mumbai-Mumbai,1
2023-04-01,NDLS-Gorakhpur,1
2023-04-01,NDLS-Mumbai,1
2023-04-01,SBC-Chennai,1
2023-04-02,BCT-HWH,1
2023-04-02,BCT-NDLS,1
2023-04-02,Gorakhpur-Delhi,1
2023-04-02,Gorakhpur-Gorakhpur,1
2023-04-02,Jaipur-Jaipur,1
2023-04-02,MAS-BCT,1
2023-04-02,MAS-NDLS,1
2023-04-02,SBC-Jaipur,1
2023-04-03,BCT-MAS,1
2023-04-03,Chennai-SBC,1
2023-04-03,Gorakhpur-Mumbai,1
2023-04-03,HWH-Delhi,1
2023-04-03,HWH-MAS,1
2023-04-03,MAS-Chennai,1
2023-04-03,NDLS-Mumbai,1
2023-04-03,SBC-Jaipur,1
2023-04-04,BCT-Gorakhpur,1
2023-04-04,BCT-MAS,1
2023-04-04,Delhi-HWH,1
2023-04-04,HWH-BCT,1
2023-04-04,HWH-Delhi,1
2023-04-04,Mumbai-Mumbai,1
2023-04-04,NDLS-Mumbai,1
2023-04-04,SBC-Mumbai,1
2023-04-05,Chennai-HWH,1
2023-04-05,Delhi-Gorakhpur,1
