Ticket_ID,Sale_Date,Source_Station,Destination_Station,Passenger_Age,Coach_Type,Ticket_Price,Payment_Mode
000093,2023-01-12,Delhi,MAS,16,General,274,NetBanking
000094,2023-01-12,Mumbai,MAS,74,Sleeper,1177,Cash
000095,2023-01-12,Delhi,Delhi,65,General,324,Cash
000096,2023-01-12,BCT,Mumbai,38,Sleeper,918,Cash
000097,2023-01-12,BCT,Gorakhpur,49,Sleeper,686,Card
000098,2023-01-13,Chennai,BCT,64,Sleeper,1152,Card
000099,2023-01-13,Chennai,Delhi,69,AC,2481,UPI
000100,2023-01-13,Delhi,SBC,75,AC,2197,Cash
000101,2023-01-13,Jaipur,Delhi,17,AC,2365,UPI
000102,2023-01-13,Gorakhpur,Chennai,52,Sleeper,641,Card
000103,2023-01-13,NDLS,Chennai,53,Sleeper,692,UPI
000104,2023-01-13,Mumbai,HWH,62,Sleeper,1106,NetBanking
000105,2023-01-13,SBC,Mumbai,77,General,216,NetBanking
000106,2023-01-14,Mumbai,Delhi,74,Sleeper,864,UPI
000107,2023-01-14,BCT,Gorakhpur,65,Sleeper,891,NetBanking
000108,2023-01-14,Chennai,Mumbai,30,General,491,Card
000109,2023-01-14,Gorakhpur,Gorakhpur,43,Sleeper,1159,Card
000110,2023-01-14,MAS,Jaipur,62,AC,2318,Cash
000111,2023-01-14,HWH,Mumbai,31,Sleeper,696,NetBanking
000112,2023-01-14,MAS,NDLS,44,AC,2386,UPI
000113,2023-01-14,MAS,NDLS,35,General,294,Cash
000114,2023-01-15,Jaipur,HWH,7,General,273,Card
000115,2023-01-15,Jaipur,Mumbai,19,Sleeper,935,NetBanking
000116,2023-01-15,Chennai,NDLS,58,General,267,NetBanking
000117,2023-01-15,MAS,NDLS,74,General,445,Card
000118,2023-01-15,SBC,SBC,15,AC,2417,Card
000119,2023-01-15,BCT,Chennai,34,General,276,UPI
000120,2023-01-15,MAS,BCT,39,Sleeper,807,Card
000121,2023-01-15,Gorakhpur,MAS,47,General,453,Card
000122,2023-01-16,HWH,Delhi,65,General,420,Card
000123,2023-01-16,NDLS,NDLS,44,Sleeper,861,NetBanking
000124,2023-01-16,Chennai,MAS,46,AC,1909,NetBanking
000125,2023-01-16,Chennai,MAS,46,Sleeper,930,Cash
000126,2023-01-16,Delhi,Mumbai,7,Sleeper,943,UPI
000127,2023-01-16,Gorakhpur,Mumbai,25,General,458,UPI
000128,2023-01-16,Jaipur,Delhi,77,General,273,UPI
000129,2023-01-16,BCT,Chennai,57,AC,2136,Cash
000130,2023-01-17,SBC,Jaipur,48,Sleeper,853,Cash
000131,2023-01-17,Gorakhpur,MAS,50,Sleeper,931,Cash
000132,2023-01-17,Mumbai,Jaipur,41,Sleeper,997,UPI
000133,2023-01-17,NDLS,Chennai,42,AC,1844,NetBanking
000134,2023-01-17,HWH,HWH,42,Sleeper,1183,NetBanking
000135,2023-01-17,Delhi,BCT,15,General,434,NetBanking
000136,2023-01-17,Gorakhpur,Delhi,49,Sleeper,1054,NetBanking
000137,2023-01-17,Delhi,SBC,68,Sleeper,714,Card
000138,2023-01-18,NDLS,Chennai,48,General,427,NetBanking
000139,2023-01-18,MAS,NDLS,66,Sleeper,844,Cash
000140,2023-01-18,Delhi,Jaipur,65,General,213,UPI
000141,2023-01-18,Chennai,HWH,16,General,215,Cash
000142,2023-01-18,Jaipur,Gorakhpur,13,Sleeper,1026,Card
000143,2023-01-18,MAS,Jaipur,71,Sleeper,641,NetBanking
000144,2023-01-18,Gorakhpur,MAS,78,Sleeper,1064,NetBanking
000145,2023-01-18,HWH,Jaipur,6,Sleeper,877,NetBanking
000146,2023-01-19,Chennai,SBC,12,AC,2335,Card
000147,2023-01-19,NDLS,Chennai,47,Sleeper,618,NetBanking
000148,2023-01-19,MAS,NDLS,22,Sleeper,665,UPI
000149,2023-01-19,Chennai,NDLS,56,AC,1666,Cash
000150,2023-01-19,Jaipur,Gorakhpur,43,Sleeper,1184,UPI
000151,2023-01-19,MAS,Mumbai,35,General,311,UPI
000152,2023-01-19,BCT,MAS,18,Sleeper,873,Cash
000153,2023-01-19,BCT,Chennai,68,AC,1906,UPI
000154,2023-01-20,MAS,Jaipur,48,Sleeper,972,UPI
000155,2023-01-20,MAS,Gorakhpur,64,General,284,Cash
000156,2023-01-20,BCT,BCT,6,Sleeper,638,UPI
000157,2023-01-20,Gorakhpur,SBC,36,Sleeper,704,UPI
000158,2023-01-20,Delhi,Mumbai,40,General,480,UPI
000159,2023-01-20,HWH,Mumbai,59,Sleeper,1013,Cash
000160,2023-01-20,Chennai,HWH,67,General,322,UPI
000161,2023-01-20,Chennai,HWH,73,Sleeper,660,NetBanking
000162,2023-01-21,NDLS,BCT,44,Sleeper,906,Card
000163,2023-01-21,HWH,Gorakhpur,28,Sleeper,953,UPI
000164,2023-01-21,SBC,Delhi,62,Sleeper,992,UPI
000165,2023-01-21,BCT,SBC,32,AC,1703,Cash
000166,2023-01-21,SBC,Gorakhpur,66,General,457,Card
000167,2023-01-21,Jaipur,MAS,29,Sleeper,1085,UPI
000168,2023-01-21,HWH,SBC,11,AC,2016,UPI
000169,2023-01-21,Mumbai,Mumbai,42,AC,1945,Card
000170,2023-01-22,NDLS,Mumbai,75,Sleeper,779,Card
000171,2023-01-22,MAS,MAS,49,Sleeper,941,UPI
000172,2023-01-22,Jaipur,Delhi,36,AC,1632,UPI
000173,2023-01-22,Delhi,BCT,36,Sleeper,1042,Cash
000174,2023-01-22,Mumbai,HWH,5,Sleeper,852,Card
000175,2023-01-22,HWH,Mumbai,78,Sleeper,864,UPI
000176,2023-01-22,HWH,Delhi,49,AC,1592,UPI
000177,2023-01-22,SBC,Chennai,68,Sleeper,1010,Card
000178,2023-01-23,Gorakhpur,SBC,72,Sleeper,737,UPI
000179,2023-01-23,SBC,BCT,11,General,407,UPI
000180,2023-01-23,Chennai,Gorakhpur,42,AC,2136,NetBanking
000181,2023-01-23,SBC,Delhi,74,Sleeper,1172,Card
000182,2023-01-23,Gorakhpur,BCT,57,AC,1806,Card
000183,2023-01-23,Delhi,Delhi,79,General,465,NetBanking
000184,2023-01-23,Jaipur,Chennai,77,General,333,Cash
000185,2023-01-23,BCT,NDLS,34,Sleeper,917,UPI
000186,2023-01-24,HWH,MAS,26,Sleeper,712,UPI
000187,2023-01-24,MAS,NDLS,62,General,390,UPI
000188,2023-01-24,SBC,BCT,77,Sleeper,1039,Cash
000189,2023-01-24,Mumbai,NDLS,59,Sleeper,786,NetBanking
000190,2023-01-24,Delhi,Delhi,50,Sleeper,966,UPI
000191,2023-01-24,NDLS,Delhi,30,AC,1588,UPI
000192,2023-01-24,HWH,NDLS,68,General,386,NetBanking
000193,2023-01-24,Gorakhpur,MAS,13,General,331,UPI
000194,2023-01-25,Chennai,MAS,19,Sleeper,1159,NetBanking
000195,2023-01-25,Gorakhpur,Chennai,23,Sleeper,975,Cash
000196,2023-01-25,SBC,Delhi,20,Sleeper,698,UPI
000197,2023-01-25,Jaipur,BCT,29,General,233,UPI
000198,2023-01-25,Chennai,SBC,55,General,269,UPI
000199,2023-01-25,Mumbai,MAS,50,General,370,UPI
000200,2023-01-25,Gorakhpur,Jaipur,11,General,471,NetBanking
000201,2023-01-25,Mumbai,MAS,38,Sleeper,658,UPI
000202,2023-01-26,NDLS,Chennai,62,AC,1680,Card
000203,2023-01-26,Mumbai,SBC,27,AC,1518,Card
000204,2023-01-26,HWH,HWH,27,General,425,Cash
000205,2023-01-26,Delhi,Jaipur,21,Sleeper,1072,Card
000206,2023-01-26,Chennai,MAS,17,AC,1594,UPI
000207,2023-01-26,HWH,NDLS,31,AC,2380,UPI
000208,2023-01-26,MAS,Delhi,70,Sleeper,896,NetBanking
000209,2023-01-26,Gorakhpur,Jaipur,34,AC,2092,UPI
000210,2023-01-27,Gorakhpur,MAS,8,AC,1674,UPI
000211,2023-01-27,MAS,Delhi,71,Sleeper,821,Cash
000212,2023-01-27,Mumbai,BCT,18,Sleeper,653,UPI
000213,2023-01-27,HWH,SBC,15,Sleeper,1002,UPI
000214,2023-01-27,Chennai,Mumbai,44,Sleeper,917,Cash
000215,2023-01-27,Chennai,Chennai,7,General,267,UPI
000216,2023-01-27,MAS,HWH,5,Sleeper,1139,UPI
000217,2023-01-27,Gorakhpur,NDLS,13,Sleeper,881,UPI
000218,2023-01-28,MAS,Jaipur,77,General,318,NetBanking
000219,2023-01-28,NDLS,HWH,80,Sleeper,607,Cash
000220,2023-01-28,NDLS,Chennai,5,General,250,NetBanking
000221,2023-01-28,NDLS,HWH,20,Sleeper,1090,UPI
000222,2023-01-28,BCT,SBC,76,Sleeper,940,UPI
000223,2023-01-28,Delhi,BCT,50,AC,1971,Card
000224,2023-01-28,Jaipur,NDLS,14,Sleeper,848,NetBanking
000225,2023-01-28,SBC,Jaipur,37,Sleeper,834,NetBanking
000226,2023-01-29,BCT,SBC,45,Sleeper,682,NetBanking
000227,2023-01-29,Chennai,SBC,55,General,292,Cash
000228,2023-01-29,Mumbai,Delhi,26,Sleeper,993,UPI
000229,2023-01-29,Gorakhpur,BCT,20,General,467,UPI
000230,2023-01-29,Mumbai,Mumbai,79,Sleeper,1016,Cash
000231,2023-01-29,MAS,BCT,66,General,319,UPI
000232,2023-01-29,Gorakhpur,BCT,57,Sleeper,1182,Card
000233,2023-01-29,SBC,SBC,79,Sleeper,1128,Card
000234,2023-01-30,SBC,Mumbai,18,Sleeper,852,Card
000235,2023-01-30,HWH,MAS,63,AC,2456,UPI
000236,2023-01-30,Mumbai,Delhi,30,General,321,Cash
000237,2023-01-30,Jaipur,BCT,48,Sleeper,609,UPI
000238,2023-01-30,SBC,MAS,24,AC,2298,Card
000239,2023-01-30,Delhi,Mumbai,9,Sleeper,915,UPI
000240,2023-01-30,HWH,BCT,69,AC,2337,Cash
000241,2023-01-30,Jaipur,NDLS,15,General,472,UPI
000242,2023-01-31,Gorakhpur,MAS,51,General,492,Cash
000243,2023-01-31,Mumbai,MAS,14,General,409,UPI
000244,2023-01-31,Mumbai,NDLS,65,Sleeper,1063,Card
000245,2023-01-31,Jaipur,MAS,49,AC,2211,NetBanking
000246,2023-01-31,Jaipur,HWH,51,General,415,UPI
000247,2023-01-31,SBC,BCT,38,Sleeper,1015,Card
000248,2023-01-31,Gorakhpur,Jaipur,17,General,415,NetBanking
000249,2023-01-31,HWH,MAS,27,General,279,UPI
000250,2023-02-01,Delhi,Chennai,40,General,466,Cash
000251,2023-02-01,Chennai,Gorakhpur,67,Sleeper,1079,UPI
000252,2023-02-01,Chennai,Mumbai,80,Sleeper,1146,NetBanking
000253,2023-02-01,BCT,Chennai,51,General,488,Cash
000254,2023-02-01,Delhi,NDLS,70,Sleeper,617,Card
000255,2023-02-01,Gorakhpur,BCT,18,AC,1664,UPI
000256,2023-02-01,Gorakhpur,BCT,57,Sleeper,1124,UPI
000257,2023-02-01,HWH,Chennai,70,General,401,Cash
000258,2023-02-02,Mumbai,MAS,53,Sleeper,945,NetBanking
000259,2023-02-02,BCT,Mumbai,20,Sleeper,965,Card
000260,2023-02-02,HWH,BCT,72,AC,2476,UPI
000261,2023-02-02,BCT,MAS,47,Sleeper,1047,UPI
000262,2023-02-02,Mumbai,NDLS,69,General,200,NetBanking
000263,2023-02-02,MAS,HWH,13,AC,1818,Cash
000264,2023-02-02,BCT,Delhi,25,Sleeper,816,UPI
000265,2023-02-02,HWH,Mumbai,47,General,233,Cash
000266,2023-02-03,MAS,NDLS,70,General,465,UPI
000267,2023-02-03,Jaipur,SBC,8,Sleeper,679,Cash
000268,2023-02-03,Delhi,BCT,11,General,364,Card
000269,2023-02-03,SBC,Gorakhpur,62,Sleeper,1012,NetBanking
000270,2023-02-03,HWH,MAS,8,Sleeper,851,Cash
000271,2023-02-03,Jaipur,SBC,24,General,211,NetBanking
000272,2023-02-03,Chennai,Chennai,39,General,411,Cash
000273,2023-02-03,Chennai,BCT,63,General,481,UPI
000274,2023-02-04,Gorakhpur,HWH,49,General,311,Cash
000275,2023-02-04,HWH,SBC,18,Sleeper,977,Cash
000276,2023-02-04,NDLS,Jaipur,26,Sleeper,867,UPI
000277,2023-02-04,SBC,MAS,52,General,497,Card
000278,2023-02-04,NDLS,SBC,34,Sleeper,916,Cash
000279,2023-02-04,Delhi,HWH,33,General,257,UPI
000280,2023-02-04,Gorakhpur,Mumbai,40,General,233,Card
000281,2023-02-04,SBC,Chennai,46,General,462,NetBanking
000282,2023-02-05,MAS,Delhi,33,Sleeper,964,UPI
000283,2023-02-05,BCT,NDLS,11,Sleeper,1146,Cash
000284,2023-02-05,SBC,MAS,36,AC,1770,Card
000285,2023-02-05,Mumbai,Gorakhpur,17,Sleeper,1073,UPI
000286,2023-02-05,MAS,Jaipur,17,AC,2238,NetBanking
000287,2023-02-05,BCT,SBC,58,Sleeper,1136,Card
000288,2023-02-05,Delhi,MAS,18,Sleeper,833,Cash
000289,2023-02-05,Chennai,Mumbai,10,Sleeper,658,NetBanking
000290,2023-02-06,BCT,Chennai,20,Sleeper,850,Card
000291,2023-02-06,Mumbai,HWH,45,AC,2346,NetBanking
000292,2023-02-06,Gorakhpur,Delhi,56,AC,1585,Cash
000293,2023-02-06,BCT,MAS,20,General,450,Cash
000294,2023-02-06,SBC,Gorakhpur,9,Sleeper,989,NetBanking
000295,2023-02-06,SBC,NDLS,28,AC,1679,Card
000296,2023-02-06,Gorakhpur,NDLS,47,Sleeper,748,Card
000297,2023-02-06,SBC,Delhi,69,General,270,Cash
000298,2023-02-07,Delhi,Jaipur,14,Sleeper,720,Cash
000299,2023-02-07,Mumbai,Gorakhpur,63,Sleeper,855,UPI
000300,2023-02-07,HWH,Mumbai,39,AC,2265,NetBanking
000301,2023-02-07,HWH,Gorakhpur,35,AC,2363,Card
000302,2023-02-07,Chennai,Mumbai,15,Sleeper,908,UPI
000303,2023-02-07,Jaipur,Jaipur,13,Sleeper,658,NetBanking
000304,2023-02-07,Delhi,Mumbai,70,Sleeper,668,UPI
000305,2023-02-07,Jaipur,Chennai,48,General,285,NetBanking
000306,2023-02-08,HWH,Gorakhpur,20,General,473,UPI
000307,2023-02-08,BCT,HWH,52,Sleeper,826,UPI
000308,2023-02-08,BCT,HWH,57,Sleeper,1192,UPI
000309,2023-02-08,BCT,SBC,69,General,313,Card
000310,2023-02-08,SBC,Gorakhpur,52,Sleeper,783,UPI
000311,2023-02-08,SBC,Jaipur,74,Sleeper,921,Cash
000312,2023-02-08,NDLS,Gorakhpur,50,AC,2408,UPI
000313,2023-02-08,BCT,NDLS,79,AC,1817,Cash
000314,2023-02-09,BCT,Chennai,37,General,253,Card
000315,2023-02-09,MAS,NDLS,56,General,396,Cash
000316,2023-02-09,Gorakhpur,MAS,59,Sleeper,892,UPI
000317,2023-02-09,HWH,BCT,55,Sleeper,892,UPI
000318,2023-02-09,SBC,SBC,44,AC,1984,NetBanking
000319,2023-02-09,Mumbai,Delhi,29,AC,2398,NetBanking
000320,2023-02-09,SBC,MAS,67,Sleeper,1046,Card
000321,2023-02-09,Mumbai,MAS,26,Sleeper,1011,UPI
000322,2023-02-10,NDLS,Gorakhpur,42,General,421,Card
000323,2023-02-10,Mumbai,MAS,13,Sleeper,843,UPI
000324,2023-02-10,SBC,BCT,41,Sleeper,1019,Card
000325,2023-02-10,Chennai,MAS,9,General,353,Card
000326,2023-02-10,SBC,Gorakhpur,26,General,472,NetBanking
000327,2023-02-10,Delhi,NDLS,16,Sleeper,1119,Cash
000328,2023-02-10,Chennai,MAS,64,Sleeper,727,UPI
000329,2023-02-10,BCT,Delhi,48,Sleeper,972,NetBanking
000330,2023-02-11,HWH,Chennai,26,Sleeper,1167,UPI
000331,2023-02-11,Mumbai,Chennai,10,Sleeper,758,UPI
000332,2023-02-11,SBC,Mumbai,31,General,258,NetBanking
000333,2023-02-11,SBC,SBC,59,AC,2069,Cash
000334,2023-02-11,Mumbai,BCT,19,AC,2151,Cash
000335,2023-02-11,Jaipur,HWH,68,AC,1675,Cash
000336,2023-02-11,HWH,BCT,21,AC,2426,UPI
000337,2023-02-11,MAS,Mumbai,7,General,307,UPI
000338,2023-02-12,Gorakhpur,Delhi,14,General,410,Cash
000339,2023-02-12,BCT,NDLS,67,Sleeper,1046,Card
000340,2023-02-12,Chennai,HWH,67,AC,2085,UPI
000341,2023-02-12,SBC,Gorakhpur,66,Sleeper,766,Card
000342,2023-02-12,NDLS,Gorakhpur,13,Sleeper,1059,Cash
000343,2023-02-12,HWH,SBC,28,AC,2415,Cash
000344,2023-02-12,Mumbai,HWH,36,Sleeper,956,Card
000345,2023-02-12,SBC,Gorakhpur,7,Sleeper,903,Cash
000346,2023-02-13,Chennai,SBC,37,Sleeper,832,Cash
000347,2023-02-13,NDLS,Delhi,47,Sleeper,926,UPI
000348,2023-02-13,Gorakhpur,HWH,16,AC,2383,UPI
000349,2023-02-13,Gorakhpur,Delhi,36,Sleeper,781,NetBanking
000350,2023-02-13,Chennai,Gorakhpur,24,Sleeper,933,Card
000351,2023-02-13,HWH,Chennai,71,Sleeper,628,Cash
000352,2023-02-13,NDLS,BCT,72,General,401,Cash
000353,2023-02-13,Mumbai,BCT,21,Sleeper,692,UPI
000354,2023-02-14,NDLS,Delhi,23,AC,2340,Cash
000355,2023-02-14,Delhi,Chennai,8,AC,2367,Card
000356,2023-02-14,Mumbai,SBC,21,Sleeper,929,Card
000357,2023-02-14,BCT,NDLS,68,AC,2222,Cash
000358,2023-02-14,MAS,NDLS,26,Sleeper,783,NetBanking
000359,2023-02-14,BCT,Jaipur,70,General,294,NetBanking
000360,2023-02-14,MAS,Mumbai,46,Sleeper,952,UPI
000361,2023-02-14,BCT,MAS,80,Sleeper,864,NetBanking
000362,2023-02-15,NDLS,Jaipur,49,Sleeper,618,Card
000363,2023-02-15,HWH,NDLS,15,Sleeper,1098,Card
000364,2023-02-15,Chennai,Chennai,57,Sleeper,738,UPI
000365,2023-02-15,SBC,BCT,64,General,324,NetBanking
000366,2023-02-15,MAS,BCT,33,Sleeper,1172,UPI
000367,2023-02-15,SBC,NDLS,24,General,449,UPI
000368,2023-02-15,Delhi,NDLS,9,General,497,UPI
000369,2023-02-15,Delhi,Mumbai,29,AC,2024,Cash
000370,2023-02-16,SBC,NDLS,38,AC,2407,UPI
000371,2023-02-16,Delhi,Delhi,16,AC,1754,NetBanking
000372,2023-02-16,Mumbai,Gorakhpur,32,AC,1584,UPI
000373,2023-02-16,SBC,MAS,10,AC,1957,NetBanking
000374,2023-02-16,Delhi,SBC,23,Sleeper,1131,Cash
000375,2023-02-16,MAS,MAS,16,AC,2061,UPI
000376,2023-02-16,HWH,MAS,29,Sleeper,691,UPI
000377,2023-02-16,Delhi,Jaipur,17,General,287,UPI
000378,2023-02-17,SBC,NDLS,80,AC,1568,NetBanking
000379,2023-02-17,MAS,Delhi,7,General,236,UPI
000380,2023-02-17,SBC,Jaipur,28,Sleeper,739,Card
000381,2023-02-17,Gorakhpur,Jaipur,12,AC,2366,UPI
000382,2023-02-17,NDLS,Gorakhpur,49,Sleeper,1165,Card
000383,2023-02-17,NDLS,Gorakhpur,76,Sleeper,777,NetBanking
000384,2023-02-17,NDLS,Chennai,5,General,496,UPI
000385,2023-02-17,BCT,Gorakhpur,7,General,500,Cash
000386,2023-02-18,Mumbai,Delhi,69,General,305,Cash
000387,2023-02-18,SBC,Chennai,19,Sleeper,736,UPI
000388,2023-02-18,Mumbai,HWH,54,AC,1689,Cash
000389,2023-02-18,SBC,Mumbai,24,General,327,Card
000390,2023-02-18,Gorakhpur,HWH,7,General,246,NetBanking
000391,2023-02-18,Delhi,MAS,65,General,204,Card
000392,2023-02-18,BCT,Jaipur,19,Sleeper,856,Cash
000393,2023-02-18,HWH,Delhi,63,Sleeper,842,Card
000394,2023-02-19,SBC,Chennai,58,General,474,Cash
000395,2023-02-19,MAS,HWH,64,Sleeper,1014,Cash
000396,2023-02-19,Delhi,Jaipur,41,General,314,UPI
000397,2023-02-19,Chennai,Delhi,25,General,394,UPI
000398,2023-02-19,Chennai,SBC,27,Sleeper,942,Cash
000399,2023-02-19,HWH,SBC,22,General,369,Card
000400,2023-02-19,MAS,SBC,21,General,281,Cash
000401,2023-02-19,NDLS,Mumbai,35,AC,2165,Cash
000402,2023-02-20,BCT,Gorakhpur,68,General,340,NetBanking
000403,2023-02-20,Mumbai,Mumbai,52,Sleeper,745,Card
000404,2023-02-20,Jaipur,Mumbai,30,General,321,UPI
000405,2023-02-20,Jaipur,Delhi,26,Sleeper,851,Cash
000406,2023-02-20,BCT,Delhi,49,General,288,UPI
000407,2023-02-20,Delhi,MAS,40,Sleeper,1074,Card
000408,2023-02-20,Gorakhpur,Chennai,68,AC,2069,Card
000409,2023-02-20,Delhi,BCT,39,General,262,Cash
000410,2023-02-21,Chennai,SBC,79,AC,1846,UPI
000411,2023-02-21,Mumbai,NDLS,31,Sleeper,1086,Cash
000412,2023-02-21,Chennai,Jaipur,72,General,479,Card
000413,2023-02-21,SBC,BCT,21,General,271,UPI
000414,2023-02-21,Chennai,NDLS,74,Sleeper,1120,NetBanking
000415,2023-02-21,Jaipur,Delhi,15,Sleeper,965,UPI
000416,2023-02-21,Jaipur,BCT,9,Sleeper,693,UPI
000417,2023-02-21,Mumbai,MAS,62,Sleeper,972,Cash
000418,2023-02-22,Chennai,SBC,61,Sleeper,938,UPI
000419,2023-02-22,BCT,Gorakhpur,78,Sleeper,1036,Card
000420,2023-02-22,BCT,Jaipur,78,General,351,Card
000421,2023-02-22,HWH,NDLS,78,General,239,NetBanking
